"","sca","position","tackles_def_3rd","tackles_mid_3rd","touches_att_pen_area","dribbles_completed","passes_received","progressive_passes_received","shots_free_kicks"
"271",2,"FW",0,1,6,1,42,6,0
"272",5,"FW",2,1,5,3,61,4,0
"273",3,"MF",1,3,3,0,97,4,0
"274",0,"DF",1,1,1,0,32,0,0
"275",3,"MF",3,3,7,2,48,4,0
"276",1,"DF",2,0,2,0,165,0,0
"277",22,"MF",0,0,28,19,126,29,0
"278",1,"FW",0,0,3,0,13,4,0
"279",0,"DF",0,0,0,0,3,0,0
"280",1,"DF",0,0,4,0,234,0,0
"281",0,"FW",0,0,0,0,4,1,0
"282",0,"DF",2,0,0,0,2,0,0
"283",1,"DF",2,1,2,1,61,0,0
"284",1,"MF",0,0,2,0,14,4,0
"285",3,"MF",0,0,2,2,14,0,0
"286",3,"MF",0,1,2,2,27,3,0
"287",1,"MF",0,0,0,0,4,1,0
"288",2,"MF",0,1,7,4,57,11,0
"289",1,"FW",1,0,1,0,19,2,0
"290",7,"DF",5,4,3,3,76,8,0
"291",0,"MF",0,0,2,1,22,7,0
"292",3,"MF",1,1,1,0,114,1,0
"293",5,"DF",2,1,4,0,197,0,0
"294",4,"DF",4,3,3,0,111,16,0
"295",1,"MF",1,0,0,0,27,1,0
"296",0,"MF",1,2,0,0,10,0,0
"297",2,"DF",1,1,1,0,134,0,0
"298",3,"FW",2,5,1,6,129,9,0
"299",1,"FW",0,0,1,0,14,3,0
"300",1,"DF",1,0,5,1,339,0,0
"301",4,"FW",0,0,2,0,18,1,0
"302",1,"FW",0,1,11,0,58,16,0
"303",5,"MF",0,1,2,1,53,2,0
"304",7,"FW",1,2,0,1,42,6,0
"305",2,"MF",2,2,2,0,104,5,0
"306",0,"FW",0,0,2,0,3,1,0
"307",2,"GK",0,0,0,0,92,0,0
"308",0,"MF",0,2,1,0,32,1,0
"309",11,"DF",2,4,1,2,305,11,0
"310",5,"DF",1,0,4,1,54,9,0
"311",2,"FW",0,0,5,2,35,14,0
"312",20,"MF",3,2,4,1,207,11,1
"313",5,"DF",4,0,3,1,183,11,0
"314",0,"MF",1,1,0,0,40,2,0
"315",1,"DF",3,1,4,0,134,2,0
"316",2,"DF",1,2,6,4,170,6,0
"317",7,"FW",2,2,8,2,104,12,0
"318",2,"FW",0,1,2,0,34,3,0
"319",3,"MF",1,1,1,1,25,1,0
"320",4,"DF",2,3,2,1,254,0,0
"321",2,"DF",4,0,1,0,14,0,0
"322",12,"MF",2,6,11,6,197,20,0
"323",3,"DF",3,0,2,2,109,0,0
"324",3,"FW",1,0,12,0,55,11,0
"325",7,"MF",3,2,1,0,168,1,0
"326",7,"FW",1,2,2,2,47,6,0
"327",10,"MF",3,3,4,2,68,8,0
"328",1,"DF",5,4,0,3,182,2,0
"329",7,"FW",0,1,11,0,36,7,0
"330",4,"DF",10,2,3,0,140,0,0
"331",1,"MF",0,0,0,0,18,1,0
"332",0,"DF",5,1,0,1,173,1,0
"333",0,"FW",0,0,4,1,24,4,0
"334",0,"DF",1,1,4,0,105,0,0
"335",2,"MF",0,0,1,1,6,0,0
"336",9,"MF",6,0,4,2,47,3,0
"337",3,"FW",0,0,2,0,6,1,0
"338",3,"MF",0,2,2,1,83,4,0
"339",6,"FW",0,1,5,1,47,5,0
"340",0,"FW",1,1,0,0,6,0,0
"341",2,"FW",0,1,4,1,27,12,0
"342",0,"GK",0,0,0,0,42,0,0
"343",0,"MF",1,0,0,0,31,5,0
"344",1,"MF",3,0,0,0,10,2,0
"345",1,"DF",6,1,3,0,59,0,0
"346",0,"MF",0,0,0,0,8,1,0
"347",11,"FW",1,0,3,4,112,19,1
"348",NA,"FW",NA,NA,NA,NA,NA,NA,NA
"349",1,"DF",1,0,2,1,16,2,0
"350",0,"GK",1,0,0,0,33,0,0
"351",3,"DF",3,1,4,1,47,5,0
"352",6,"FW",1,0,12,0,71,15,0
"353",5,"DF",4,2,1,1,133,4,1
"354",7,"DF",6,2,10,0,97,8,0
"355",1,"DF",2,0,3,1,153,1,0
"356",7,"DF",6,2,5,2,157,13,0
"357",1,"GK",0,0,0,0,60,0,0
"358",5,"DF",3,0,3,0,172,0,0
"359",2,"FW",0,0,2,4,60,10,0
"360",2,"DF",4,4,5,0,91,1,0
"361",1,"MF",0,1,0,0,60,1,0
"362",1,"MF",1,3,2,1,77,0,0
"363",0,"FW",0,0,1,0,7,0,0
"364",4,"FW",0,0,2,1,76,4,0
"365",5,"FW",3,0,6,10,76,13,0
"366",2,"FW",0,1,3,0,22,3,0
"367",0,"DF",0,0,0,0,36,0,0
"368",1,"DF",5,3,0,0,147,0,0
"369",1,"DF",1,1,0,1,101,0,0
"370",34,"FW",0,0,42,13,182,42,1
"371",5,"FW",0,0,10,2,48,12,0
"372",0,"GK",0,0,0,0,23,0,0
"373",3,"DF",4,2,3,0,111,1,0
"374",3,"MF",1,1,0,0,128,1,0
"375",3,"FW",0,1,3,0,51,8,0
"376",4,"MF",1,2,1,2,83,9,0
"377",13,"MF",1,2,2,1,60,4,2
"378",1,"MF",2,3,4,0,43,2,0
"379",7,"FW",1,0,7,3,61,9,0
"380",0,"DF",0,0,1,0,5,0,0
"381",25,"FW",0,2,25,9,231,17,2
"382",1,"DF",3,0,1,0,87,0,0
"383",0,"MF",0,1,2,0,34,6,0
"384",2,"FW",0,1,0,1,4,1,0
"385",0,"FW",0,0,0,0,3,0,0
"386",0,"DF",0,1,0,0,6,1,0
"387",6,"MF",5,1,4,0,123,10,0
"388",14,"MF",0,1,1,2,105,2,4
"389",3,"FW",0,0,7,2,40,5,0
"390",1,"FW",0,0,4,0,12,4,0
"391",9,"MF",2,7,9,1,230,12,0
"392",1,"DF",0,3,0,0,35,1,0
"393",12,"DF",1,0,7,2,254,12,0
"394",1,"DF",6,1,0,0,61,0,0
"395",2,"DF",2,0,5,0,214,1,1
"396",0,"GK",0,0,0,0,88,0,0
"397",9,"MF",7,0,2,2,314,13,0
"398",2,"FW",0,0,13,0,128,19,0
"399",4,"DF",7,0,7,0,118,9,0
"400",3,"DF",0,0,1,0,76,3,0
"401",3,"FW",0,0,13,5,68,14,1
"402",1,"FW",0,0,1,2,15,2,0
"403",4,"MF",1,0,6,0,18,5,0
"404",1,"FW",0,1,5,0,34,7,0
"405",0,"MF",1,1,0,0,57,2,0
"406",1,"MF",1,0,0,0,14,1,0
"407",2,"FW",0,0,11,0,42,14,0
"408",7,"DF",3,2,4,1,224,2,0
"409",0,"MF",2,3,0,0,73,0,0
