"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Junior Hoilett","FW","Canada",32,0,0,1,7,43,24.3
"Junya Ito","MF","Japan",29,0.28,0,0,10,59,11.1
"Jurriën Timber","DF","Netherlands",21,0,0,1,1,283,NA
"Kai Havertz","FW","Germany",23,1.76,0,0,7,27,13.1
"Kalidou Koulibaly","DF","Senegal",31,0.25,0,1,4,156,7.9
"Kalvin Phillips","MF","England",27,2.14,0,0,1,17,NA
"Kamal Miller","DF","Canada",25,0,0,1,0,186,NA
"Kamaldeen Sulemana","FW","Ghana",20,0,0,1,0,10,21.8
"Kamil Glik","DF","Poland",34,0,0,0,0,118,11.6
"Kamil Grosicki","MF","Poland",34,0,0,0,2,4,NA
"Kaoru Mitoma","MF","Japan",25,0.55,0,0,9,50,21.5
"Karim Ansarifard","FW","IR Iran",32,0,0,0,3,4,21.9
"Karim Boudiaf","MF","Qatar",32,0,0,1,3,94,NA
"Karl Toko Ekambi","FW","Cameroon",30,0,0,0,6,43,15.6
"Karol ?widerski","FW","Poland",25,0,0,0,0,7,NA
"Kasper Dolberg","FW","Denmark",25,0,0,0,2,15,8.6
"Kasper Schmeichel","GK","Denmark",36,0,0,0,0,72,NA
"Keanu Baccus","MF","Australia",24,0,0,0,0,26,23.9
"Kellyn Acosta","MF","United States",27,0,0,1,1,10,NA
"Kendall Waston","DF","Costa Rica",34,0,0,0,1,57,10.5
"Kenneth Taylor","MF","Netherlands",20,0,0,0,0,8,NA
"Kevin De Bruyne","FW","Belgium",31,0,0,0,11,93,23.3
"Kevin Rodríguez","FW","Ecuador",22,0,0,0,NA,NA,NA
"Kevin ?lvarez","DF","Mexico",23,0,0,0,1,19,NA
"Keylor Navas","GK","Costa Rica",36,0,0,0,0,61,NA
"Keysher Fuller","DF","Costa Rica",28,0.36,0,0,3,44,15.5
"Kieffer Moore","FW","Wales",30,0,0,0,6,36,16.2
"Kieran Trippier","DF","England",32,0,0,0,5,165,27.2
"Kim Jin-su","DF","Korea Republic",30,0.29,0,0,7,105,11.2
"Kim Min-jae","DF","Korea Republic",26,0,0,0,1,167,8.2
"Kim Moonhwan","DF","Korea Republic",27,0,0,0,7,201,NA
"Kim Seung-gyu","GK","Korea Republic",32,0,0,0,1,93,NA
"Kim Young-gwon","DF","Korea Republic",32,0.26,0,1,5,178,10.9
"Kingsley Coman","FW","France",26,0,0,0,4,56,10.7
"Ko Itakura","DF","Japan",25,0.33,0,2,2,98,14.6
"Koke","MF","Spain",30,0,0,0,1,56,NA
"Kristijan Jaki?","FW","Croatia",25,0,0,0,0,0,NA
"Krystian Bielik","MF","Poland",24,0,0,0,1,86,15.8
"Krzysztof Pi?tek","FW","Poland",27,0,0,0,0,2,15.6
"Krépin Diatta","FW","Senegal",23,0,0,0,4,60,16.5
"Kudus Mohammed","FW","Ghana",22,0.73,0,1,5,62,21.8
"Kwon Chang-hoon","FW","Korea Republic",28,0,0,0,2,19,NA
"Kwon Kyung-won","DF","Korea Republic",30,0,0,0,0,39,33.8
"Kye Rowles","DF","Australia",24,0,0,0,1,165,NA
"Kyle Walker","DF","England",32,0,0,0,3,162,NA
"Kylian Mbappé","FW","France",23,1.51,0,0,46,173,17.1
"Lautaro Martínez","FW","Argentina",25,0,0,0,7,46,12.6
"Lawrence Ati-Zigi","GK","Ghana",26,0,0,0,0,54,NA
"Leander Dendoncker","DF","Belgium",27,0,0,1,3,119,9.6
"Leandro Paredes","MF","Argentina",28,0,0,2,7,230,30.6
"Leandro Trossard","FW","Belgium",28,0,0,0,3,43,NA
"Lee Jae-sung","MF","Korea Republic",30,0,0,0,4,84,26.8
"Lee Kangin","MF","Korea Republic",21,0.61,0,1,13,62,25.9
"Leon Goretzka","MF","Germany",27,0,0,1,1,42,16.7
"Leroy Sané","FW","Germany",26,0.81,0,0,7,47,25.4
"Liam Millar","DF","Canada",23,0,0,0,0,4,NA
"Lionel Messi","FW","Argentina",35,1.3,0,1,43,301,21
"Lisandro Martínez","DF","Argentina",24,0,0,1,2,133,10.1
"Lovro Majer","MF","Croatia",24,0.69,0,0,5,78,23.2
"Loïs Openda","FW","Belgium",22,0,0,0,2,3,NA
"Lucas Cavallini","FW","Canada",29,0,0,0,0,2,NA
"Lucas Hernández","DF","France",26,0,0,0,0,5,NA
"Lucas Paquetá","MF","Brazil",25,0.57,0,0,9,169,11.7
"Luis Chávez","MF","Mexico",26,0.33,0,0,14,99,31.4
"Luis Suárez","FW","Uruguay",35,0.62,0,1,3,25,7.5
"Luka Jovi?","FW","Serbia",24,0,0,1,1,6,17.6
"Luka Modri?","MF","Croatia",37,0,0,1,21,465,21.1
